Reporting Country/ Territory/Area†,,"Total confirmed
‡  cases",,"Total
confirmed new cases1",,Total deaths,,"Total
new deaths1",,Transmission classification§,,Days since last reported case,
Republic of Korea,,8162,,76,,75,,3,,Local transmission,,0,
Japan,,780,,64,,22,,1,,Local transmission,,0,
Australia,,249,,52,,3,,0,,Local transmission,,0,
Malaysia,,238,,41,,0,,0,,Local transmission,,0,
Singapore,,212,,12,,0,,0,,Local transmission,,0,
Philippines,,111,,47,,6,,4,,Local transmission,,0,
Viet Nam,,53,,5,,0,,0,,Local transmission,,0,
Brunei Darussalam,,40,,15,,0,,0,,Local transmission,,0,
Cambodia,,7,,0,,0,,0,,Local transmission,,1,
New Zealand,,6,,0,,0,,0,,Local transmission,,1,
Mongolia,,1,,0,,1234,,0,,Imported cases only,,5,
French Polynesia,,3,,2,,0,,0,,Imported cases only,,0,
Italy,,21157,,3497,,1441,,173,,Local transmission,,0,
Spain,,5753,,1522,,136,,16,,Local transmission,,0,
France,,4469,,829,,91,,12,,Local transmission,,0,
Germany,,3795,,733,,8,,2,,Local transmission,,0,
Switzerland,,1359,,234,,11,,5,,Local transmission,,0,
The United Kingdom,,1144,,342,,21,,11,,Local transmission,,0,
Netherlands,,959,,155,,12,,2,,Local transmission,,0,
Sweden,,924,,149,,0,,0,,Local transmission,,0,
Norway,,907,,157,,1,,0,,Local transmission,,0,
Denmark,,827,,26,,0,,0,,Local transmission,,0,
Austria,,800,,296,,1,,0,,Local transmission,,0,
Belgium,,689,,90,,0,,0,,Local transmission,,0,
Greece,,228,,130,,2,,1,,Local transmission,,0,
Czechia,,214,,64,,0,,0,,Local transmission,,0,
Finland,,210,,101,,0,,0,,Local transmission,,0,
Israel,,178,,78,,0,,0,,Local transmission,,0,
Slovenia,,141,,0,,0,,0,,Local transmission,,1,
Iceland,,138,,77,,0,,0,,Local transmission,,0,
Ireland,,129,,39,,2,,1,,Local transmission,,0,
Romania,,123,,59,,0,,0,,Local transmission,,0,
Portugal,,112,,0,,0,,0,,Local transmission,,1,
Poland,,111,,47,,3,,2,,Local transmission,,0,
San Marino,,92,,26,,5,,3,,Local transmission,,0,
Estonia,,79,,0,,0,,0,,Local transmission,,1,
Slovakia,,44,,14,,0,,0,,Local transmission,,0,
Bulgaria,,43,,36,,2,,1,,Local transmission,,0,
Serbia,,41,,10,,0,,0,,Local transmission,,0,
Albania,,38,,5,,1,,0,,Local transmission,,0,
Luxembourg,,38,,0,,1,,0,,Local transmission,,1,
Croatia,,37,,10,,0,,0,,Local transmission,,0,
Russian Federation,,34,,0,,0,,0,,Imported cases only,,2,
Hungary,,32,,13,,0,,0,,Local transmission,,0,
Georgia,,30,,5,,0,,0,,Imported cases only,,0,
Latvia,,30,,14,,0,,0,,Imported cases only,,0,
Belarus,,21,,0,,0,,0,,Local transmission,,1,
Cyprus,,21,,7,,0,,0,,Imported cases only,,0,
Azerbaijan,,19,,8,,0,,0,,Imported cases only,,0,
"Bosnia and
Herzegovina",,18,,7,,0,,0,,Local transmission,,0,
North Macedonia,,13,,4,,0,,0,,Local transmission,,0,
Malta,,12,,0,,0,,0,,Imported cases only,,2,
Republic of Moldova,,12,,4,,0,,0,,Imported cases only,,0,
Lithuania,,9,,3,,0,,0,,Imported cases only,,0,
Armenia,,8,,0,,0,,0,,Local transmission,,1,
Kazakhstan,,6,,6,,0,,0,,Imported cases only,,0,
Turkey,,5,,0,,0,,0,,Imported cases only,,1,
Liechtenstein,,4,,0,,0,,0,,Imported cases only,,2,
Ukraine,,3,,0,,1,,0,,Local transmission,,1,
Andorra,,2,,0,,0,,0,,Imported cases only,,1,
Monaco,,2,,0,,0,,0,,Under investigation,,1,
Holy See,,1,,0,,0,,0,,Under investigation,,9,
Faroe Islands,,9,,6,,0,,0,,Imported cases only,,0,
Gibraltar,,1,,0,,0,,0,,Under investigation,,11,
Guernsey,,1,,0,,0,,0,,Imported cases only,,5,
Jersey,,2,,0,,0,,0,,Imported cases only,,2,
Indonesia,,117,,48,,4,,1,,Local transmission,,0,
India,,107,,25,,2,,0,,Local transmission,,0,
Thailand,,75,,0,,1,,0,,Local transmission,,2,
Sri Lanka,,11,,5,,0,,0,,Local transmission,,0,
Maldives,,10,,1,,0,,0,,Local transmission,,0,
Bangladesh,,3,,0,,0,,0,,Local transmission,,6,
Bhutan,,1,,0,,0,,0,,Imported cases only,,9,
Nepal,,1,,0,,0,,0,,Imported cases only,,51,
"Iran (Islamic Republic
of)",,12729,,1365,,608,,94,,Local transmission,,0,
Qatar,,337,,75,,0,,0,,Local transmission,,0,
Bahrain,,211,,1,,0,,0,,Local transmission,,0,
Kuwait,,112,,12,,0,,0,,Local transmission,,0,
Saudi Arabia,,103,,41,,0,,0,,Local transmission,,0,
Egypt,,93,,0,,2,,0,,Local transmission,,1,
Iraq,,93,,0,,9,,0,,Local transmission,,1,
Lebanon,,93,,16,,3,,0,,Local transmission,,0,
United Arab Emirates,,85,,0,,0,,0,,Local transmission,,2,
Pakistan,,28,,7,,0,,0,,Imported cases only,,0,
Oman,,20,,1,,0,,0,,Imported cases only,,0,
Morocco,,18,,11,,1,,0,,Local transmission,,0,
Tunisia,,16,,0,,0,,0,,Local transmission,,1,
Afghanistan,,10,,3,,0,,0,,Imported cases only,,0,
Jordan,,1,,0,,0,,0,,Imported cases only,,12,
Sudan,,1,,0,,0,,0,,Imported cases only,,1,
"occupied Palestinian
territory",,38,,3,,0,,0,,Local transmission,,1,
